DATE_TIME,current_contract,next_contract,carry_contract
2023-08-14 23:00:00,20230900,20231000,20230800
2023-09-12 23:00:00,20231000,20231100,20230900
2023-10-13 23:00:00,20231100,20231200,20231000
2023-11-13 23:00:00,20231200,20240100,20231100
2023-12-13 23:00:00,20240100,20240500,20231200
2024-02-22 23:00:00,20240500,20240600,20240200
2024-05-13 23:00:00,20240600,20240700,20240500
2024-06-12 23:00:00,20240700,20240800,20240600
2024-07-12 23:00:00,20240800,20240900,20240700
2024-08-13 23:00:00,20240900,20241000,20240800
2024-09-12 23:00:00,20241000,20241100,20240900
2024-10-14 23:00:00,20241100,20241200,20241000
2024-11-12 23:00:00,20241200,20250100,20241100
2024-12-13 23:00:00,20250100,20250500,20241200
2025-02-18 23:00:00,20250500,20250600,20250200
2025-05-13 23:00:00,20250600,20250700,20250500
2025-06-12 23:00:00,20250700,20250800,20250600
2025-07-14 23:00:00,20250800,20250900,20250700
2025-08-13 23:00:00,20250900,20251000,20250800
2025-09-12 23:00:00,20251000,20251100,20250900
2025-10-13 23:00:00,20251100,20251200,20251000
2025-11-12 23:00:00,20251200,20260100,20251100
2025-12-12 23:00:00,20260100,20260500,20251200
2026-02-13 23:00:00,20260500,20260600,20260200
2026-05-13 23:00:00,20260600,20260700,20260500
2026-06-12 23:00:00,20260700,20260800,20260600
2026-07-13 23:00:00,20260800,20260900,20260700
2026-07-27 23:00:00,20260900,20261000,20260800
