DATE_TIME,current_contract,next_contract,carry_contract
2024-04-29 23:00:00,20240600,20240800,20240400
2024-06-24 23:00:00,20240800,20241000,20240600
2024-08-26 23:00:00,20241000,20241200,20240800
2024-10-28 23:00:00,20241200,20250400,20241000
2025-02-24 23:00:00,20250400,20250600,20250200
2025-04-28 23:00:00,20250600,20250800,20250400
2025-06-30 23:00:00,20250800,20251000,20250600
2025-08-25 23:00:00,20251000,20251200,20250800
2025-10-27 23:00:00,20251200,20260400,20251000
2026-02-09 23:00:00,20260400,20260600,20260200
2026-04-27 23:00:00,20260600,20260800,20260400
2026-06-29 23:00:00,20260800,20261000,20260600
2026-07-27 23:00:00,20261000,20261200,20260800
