DATE_TIME,current_contract,next_contract,carry_contract
2018-08-31 23:00:00,20181000,20181200,20180900
2018-10-31 23:00:00,20181200,20190100,20181100
2018-11-30 23:00:00,20190100,20190200,20181200
2018-12-28 23:00:00,20190200,20190300,20190100
2019-01-25 23:00:00,20190300,20190400,20190200
2019-02-28 23:00:00,20190400,20190500,20190300
2019-03-29 23:00:00,20190500,20190600,20190400
2019-04-30 23:00:00,20190600,20190700,20190500
2019-05-31 23:00:00,20190700,20190800,20190600
2019-06-28 23:00:00,20190800,20190900,20190700
2019-07-31 23:00:00,20190900,20191000,20190800
2019-08-30 23:00:00,20191000,20191200,20190900
2019-10-31 23:00:00,20191200,20200100,20191100
2019-11-29 23:00:00,20200100,20200200,20191200
2019-12-20 23:00:00,20200200,20200300,20200100
2020-02-18 23:00:00,20200300,20200400,20200200
2020-02-28 23:00:00,20200400,20200500,20200300
2020-03-31 23:00:00,20200500,20200600,20200400
2020-04-30 23:00:00,20200600,20200700,20200500
2020-05-29 23:00:00,20200700,20200800,20200600
2020-06-30 23:00:00,20200800,20200900,20200700
2020-07-31 23:00:00,20200900,20201000,20200800
2020-08-31 23:00:00,20201000,20201200,20200900
2020-10-30 23:00:00,20201200,20210100,20201100
2020-11-30 23:00:00,20210100,20210200,20201200
2020-12-24 23:00:00,20210200,20210300,20210100
2021-01-29 23:00:00,20210300,20210400,20210200
2021-02-26 23:00:00,20210400,20210500,20210300
2021-03-31 23:00:00,20210500,20210600,20210400
2021-04-30 23:00:00,20210600,20210700,20210500
2021-05-31 23:00:00,20210700,20210800,20210600
2021-06-30 23:00:00,20210800,20210900,20210700
2021-07-30 23:00:00,20210900,20211000,20210800
2021-08-31 23:00:00,20211000,20211200,20210900
2021-10-29 23:00:00,20211200,20220100,20211100
2021-11-30 23:00:00,20220100,20220200,20211200
2021-12-23 23:00:00,20220200,20220300,20220100
2022-01-21 23:00:00,20220300,20220400,20220200
2022-02-28 23:00:00,20220400,20220500,20220300
2022-03-31 23:00:00,20220500,20220600,20220400
2022-04-29 23:00:00,20220600,20220700,20220500
2022-05-31 23:00:00,20220700,20220800,20220600
2022-06-30 23:00:00,20220800,20220900,20220700
2022-07-29 23:00:00,20220900,20221000,20220800
2022-08-31 23:00:00,20221000,20221200,20220900
2022-10-31 23:00:00,20221200,20230100,20221100
2022-11-30 23:00:00,20230100,20230200,20221200
2022-12-22 23:00:00,20230200,20230300,20230100
2023-02-17 23:00:00,20230300,20230400,20230200
2023-02-28 23:00:00,20230400,20230500,20230300
2023-03-31 23:00:00,20230500,20230600,20230400
2023-04-28 23:00:00,20230600,20230700,20230500
2023-05-31 23:00:00,20230700,20230800,20230600
2023-06-30 23:00:00,20230800,20230900,20230700
2023-07-31 23:00:00,20230900,20231000,20230800
2023-08-31 23:00:00,20231000,20231200,20230900
2023-10-31 23:00:00,20231200,20240100,20231100
2023-11-30 23:00:00,20240100,20240200,20231200
2023-12-29 23:00:00,20240200,20240300,20240100
2024-01-31 23:00:00,20240300,20240400,20240200
2024-02-29 23:00:00,20240400,20240500,20240300
2024-03-29 23:00:00,20240500,20240600,20240400
2024-04-30 23:00:00,20240600,20240700,20240500
2024-05-31 23:00:00,20240700,20240800,20240600
2024-06-28 23:00:00,20240800,20240900,20240700
2024-07-31 23:00:00,20240900,20241000,20240800
2024-08-30 23:00:00,20241000,20241200,20240900
2024-10-31 23:00:00,20241200,20250100,20241100
2024-11-29 23:00:00,20250100,20250200,20241200
2024-12-31 23:00:00,20250200,20250300,20250100
2025-01-27 23:00:00,20250300,20250400,20250200
2025-02-28 23:00:00,20250400,20250500,20250300
2025-03-31 23:00:00,20250500,20250600,20250400
2025-04-30 23:00:00,20250600,20250700,20250500
2025-05-30 23:00:00,20250700,20250800,20250600
2025-06-30 23:00:00,20250800,20250900,20250700
2025-07-31 23:00:00,20250900,20251000,20250800
2025-08-29 23:00:00,20251000,20251200,20250900
2025-10-31 23:00:00,20251200,20260100,20251100
2025-11-28 23:00:00,20260100,20260200,20251200
2025-12-31 23:00:00,20260200,20260300,20260100
2026-01-30 23:00:00,20260300,20260400,20260200
2026-02-27 23:00:00,20260400,20260500,20260300
2026-03-31 23:00:00,20260500,20260600,20260400
2026-04-30 23:00:00,20260600,20260700,20260500
2026-05-29 23:00:00,20260700,20260800,20260600
2026-06-30 23:00:00,20260800,20260900,20260700
2026-07-27 23:00:00,20260900,20261000,20260800
