DATE_TIME,current_contract,next_contract,carry_contract
2024-01-15 23:00:00,20240200,20240300,20240100
2024-02-19 23:00:00,20240300,20240400,20240200
2024-03-15 23:00:00,20240400,20240500,20240300
2024-04-15 23:00:00,20240500,20240600,20240400
2024-05-15 23:00:00,20240600,20240700,20240500
2024-06-17 23:00:00,20240700,20240800,20240600
2024-07-15 23:00:00,20240800,20240900,20240700
2024-08-15 23:00:00,20240900,20250100,20240800
2024-11-15 23:00:00,20250100,20250200,20241100
2025-01-15 23:00:00,20250200,20250300,20250100
2025-02-17 23:00:00,20250300,20250400,20250200
2025-03-17 23:00:00,20250400,20250500,20250300
2025-04-15 23:00:00,20250500,20250600,20250400
2025-05-15 23:00:00,20250600,20250700,20250500
2025-06-16 23:00:00,20250700,20250800,20250600
2025-07-15 23:00:00,20250800,20250900,20250700
2025-08-15 23:00:00,20250900,20260100,20250800
2025-11-17 23:00:00,20260100,20260200,20251100
2026-01-15 23:00:00,20260200,20260300,20260100
2026-02-13 23:00:00,20260300,20260400,20260200
2026-03-16 23:00:00,20260400,20260500,20260300
2026-04-15 23:00:00,20260500,20260600,20260400
2026-05-15 23:00:00,20260600,20260700,20260500
2026-06-15 23:00:00,20260700,20260800,20260600
2026-07-15 23:00:00,20260800,20260900,20260700
2026-07-27 23:00:00,20260900,20270100,20260800
