DATE_TIME,current_contract,next_contract,carry_contract
2014-06-16 23:00:00,20140900,20141200,20140600
2014-09-15 23:00:00,20141200,20150100,20140900
2014-12-09 23:00:00,20150100,20150600,20141200
2015-01-15 23:00:00,20150600,20150900,20150100
2015-06-15 23:00:00,20150900,20151200,20150600
2015-09-15 23:00:00,20151200,20160100,20150900
2015-12-09 23:00:00,20160100,20160600,20151200
2016-01-15 23:00:00,20160600,20160900,20160100
2016-06-15 23:00:00,20160900,20161200,20160600
2016-09-19 23:00:00,20161200,20170100,20160900
2016-12-09 23:00:00,20170100,20170600,20161200
2017-01-16 23:00:00,20170600,20170900,20170100
2017-06-15 23:00:00,20170900,20171200,20170600
2017-09-15 23:00:00,20171200,20180100,20170900
2017-12-08 23:00:00,20180100,20180600,20171200
2018-01-15 23:00:00,20180600,20180900,20180100
2018-06-15 23:00:00,20180900,20181200,20180600
2018-09-17 23:00:00,20181200,20190100,20180900
2018-12-10 23:00:00,20190100,20190600,20181200
2019-01-15 23:00:00,20190600,20190900,20190100
2019-06-17 23:00:00,20190900,20191200,20190600
2019-09-16 23:00:00,20191200,20200100,20190900
2019-12-09 23:00:00,20200100,20200600,20191200
2020-01-15 23:00:00,20200600,20200900,20200100
2020-06-15 23:00:00,20200900,20201200,20200600
2020-09-15 23:00:00,20201200,20210100,20200900
2020-12-09 23:00:00,20210100,20210600,20201200
2021-01-15 23:00:00,20210600,20210900,20210100
2021-06-15 23:00:00,20210900,20211200,20210600
2021-09-15 23:00:00,20211200,20220100,20210900
2021-12-09 23:00:00,20220100,20220600,20211200
2022-01-17 23:00:00,20220600,20220900,20220100
2022-06-15 23:00:00,20220900,20221200,20220600
2022-09-15 23:00:00,20221200,20230100,20220900
2022-12-09 23:00:00,20230100,20230600,20221200
2023-01-16 23:00:00,20230600,20230900,20230100
2023-06-15 23:00:00,20230900,20231200,20230600
2023-09-15 23:00:00,20231200,20240100,20230900
2023-12-08 23:00:00,20240100,20240600,20231200
2024-01-15 23:00:00,20240600,20240900,20240100
2024-06-17 23:00:00,20240900,20241200,20240600
2024-09-18 23:00:00,20241200,20250100,20240900
2024-12-09 23:00:00,20250100,20250600,20241200
2025-01-15 23:00:00,20250600,20250900,20250100
2025-06-16 23:00:00,20250900,20251200,20250600
2025-09-15 23:00:00,20251200,20260100,20250900
2025-12-09 23:00:00,20260100,20260600,20251200
2026-01-15 23:00:00,20260600,20260900,20260100
2026-06-15 23:00:00,20260900,20261200,20260600
