DATE_TIME,current_contract,next_contract,carry_contract
2018-12-28 23:00:00,20190300,20190500,20190100
2019-02-28 23:00:00,20190500,20190900,20190300
2019-04-30 23:00:00,20190900,20191100,20190500
2019-08-30 23:00:00,20191100,20200100,20190900
2019-10-31 23:00:00,20200100,20200300,20191100
2019-12-20 23:00:00,20200300,20200500,20200100
2020-02-28 23:00:00,20200500,20200900,20200300
2020-04-30 23:00:00,20200900,20201100,20200500
2020-08-31 23:00:00,20201100,20210100,20200900
2020-10-30 23:00:00,20210100,20210300,20201100
2020-12-24 23:00:00,20210300,20210500,20210100
2021-02-26 23:00:00,20210500,20210900,20210300
2021-04-30 23:00:00,20210900,20211100,20210500
2021-08-31 23:00:00,20211100,20220100,20210900
2021-10-29 23:00:00,20220100,20220300,20211100
2021-12-23 23:00:00,20220300,20220500,20220100
2022-02-28 23:00:00,20220500,20220900,20220300
2022-04-29 23:00:00,20220900,20221100,20220500
2022-08-31 23:00:00,20221100,20230100,20220900
2022-10-31 23:00:00,20230100,20230300,20221100
2022-12-22 23:00:00,20230300,20230500,20230100
2023-02-28 23:00:00,20230500,20230900,20230300
2023-04-28 23:00:00,20230900,20231100,20230500
2023-08-31 23:00:00,20231100,20240100,20230900
2023-10-31 23:00:00,20240100,20240300,20231100
2023-12-29 23:00:00,20240300,20240500,20240100
2024-02-29 23:00:00,20240500,20240900,20240300
2024-04-30 23:00:00,20240900,20241100,20240500
2024-08-30 23:00:00,20241100,20250100,20240900
2024-10-31 23:00:00,20250100,20250300,20241100
2024-12-31 23:00:00,20250300,20250500,20250100
2025-02-28 23:00:00,20250500,20250900,20250300
2025-04-30 23:00:00,20250900,20251100,20250500
2025-08-29 23:00:00,20251100,20260100,20250900
2025-10-31 23:00:00,20260100,20260300,20251100
2025-12-31 23:00:00,20260300,20260500,20260100
2026-02-27 23:00:00,20260500,20260900,20260300
2026-04-30 23:00:00,20260900,20261100,20260500
