DATE_TIME,current_contract,next_contract,carry_contract
2009-11-20 23:00:00,20100100,20100500,20100500
2010-03-22 23:00:00,20100500,20101000,20101000
2010-08-20 23:00:00,20101000,20110100,20110100
2010-11-22 23:00:00,20110100,20110500,20110500
2011-03-21 23:00:00,20110500,20111000,20111000
2011-08-22 23:00:00,20111000,20120100,20120100
2011-11-21 23:00:00,20120100,20120500,20120500
2012-03-21 23:00:00,20120500,20121000,20121000
2012-08-21 23:00:00,20121000,20130100,20130100
2012-11-21 23:00:00,20130100,20130500,20130500
2013-03-21 23:00:00,20130500,20131000,20131000
2013-08-21 23:00:00,20131000,20140100,20140100
2013-11-21 23:00:00,20140100,20140500,20140500
2014-03-21 23:00:00,20140500,20141000,20141000
2014-08-21 23:00:00,20141000,20150100,20150100
2014-11-21 23:00:00,20150100,20150500,20150500
2015-03-20 23:00:00,20150500,20151000,20151000
2015-08-21 23:00:00,20151000,20160100,20160100
2015-11-20 23:00:00,20160100,20160500,20160500
2016-03-21 23:00:00,20160500,20161000,20161000
2016-08-22 23:00:00,20161000,20170100,20170100
2016-11-21 23:00:00,20170100,20170500,20170500
2017-03-21 23:00:00,20170500,20171000,20171000
2017-08-21 23:00:00,20171000,20180100,20180100
2017-11-21 23:00:00,20180100,20180500,20180500
2018-03-21 23:00:00,20180500,20181000,20181000
2018-08-21 23:00:00,20181000,20190100,20190100
2018-11-21 23:00:00,20190100,20190500,20190500
2019-03-21 23:00:00,20190500,20191000,20191000
2019-08-21 23:00:00,20191000,20200100,20200100
2019-11-21 23:00:00,20200100,20200500,20200500
2020-03-20 23:00:00,20200500,20201000,20201000
2020-08-21 23:00:00,20201000,20210100,20210100
2020-11-20 23:00:00,20210100,20210500,20210500
2021-03-22 23:00:00,20210500,20211000,20211000
2021-08-20 23:00:00,20211000,20220100,20220100
2021-11-22 23:00:00,20220100,20220500,20220500
2022-03-21 23:00:00,20220500,20221000,20221000
2022-08-22 23:00:00,20221000,20230100,20230100
2022-11-21 23:00:00,20230100,20230500,20230500
2023-03-21 23:00:00,20230500,20231000,20231000
2023-08-21 23:00:00,20231000,20240100,20240100
2023-11-21 23:00:00,20240100,20240500,20240500
2024-03-21 23:00:00,20240500,20241000,20241000
2024-08-21 23:00:00,20241000,20250100,20250100
2024-11-21 23:00:00,20250100,20250500,20250500
2025-03-21 23:00:00,20250500,20251000,20251000
2025-08-21 23:00:00,20251000,20260100,20260100
2025-11-21 23:00:00,20260100,20260500,20260500
2026-03-20 23:00:00,20260500,20261000,20261000
2026-08-21 23:00:00,20261000,20270100,20270100
