DATE_TIME,current_contract,next_contract,carry_contract
1999-05-04 23:00:00,19990500,19990900,19990300
1999-05-17 23:00:00,19990900,19991100,19990500
1999-09-15 23:00:00,19991100,20000100,19990900
1999-11-15 23:00:00,20000100,20000500,19991100
2000-03-15 23:00:00,20000500,20000900,20000300
2000-08-01 23:00:00,20000900,20001100,20000500
2000-09-15 23:00:00,20001100,20010100,20000900
2000-11-15 23:00:00,20010100,20010500,20001100
2001-03-15 23:00:00,20010500,20010900,20010300
2001-08-01 23:00:00,20010900,20011100,20010500
2001-09-17 23:00:00,20011100,20020100,20010900
2001-12-27 23:00:00,20020100,20020500,20011100
2002-05-08 23:00:00,20020500,20020900,20020300
2002-08-01 23:00:00,20020900,20021100,20020500
2002-09-16 23:00:00,20021100,20030100,20020900
2002-11-15 23:00:00,20030100,20030500,20021100
2003-03-17 23:00:00,20030500,20030900,20030300
2003-05-15 23:00:00,20030900,20031100,20030500
2003-09-15 23:00:00,20031100,20040100,20030900
2003-11-17 23:00:00,20040100,20040500,20031100
2004-03-15 23:00:00,20040500,20040900,20040300
2004-05-17 23:00:00,20040900,20041100,20040500
2004-09-15 23:00:00,20041100,20050100,20040900
2004-11-15 23:00:00,20050100,20050500,20041100
2005-03-15 23:00:00,20050500,20050900,20050300
2005-05-16 23:00:00,20050900,20051100,20050500
2005-09-15 23:00:00,20051100,20060100,20050900
2005-11-15 23:00:00,20060100,20060500,20051100
2006-03-15 23:00:00,20060500,20060900,20060300
2006-05-15 23:00:00,20060900,20061100,20060500
2006-09-15 23:00:00,20061100,20070100,20060900
2006-11-15 23:00:00,20070100,20070500,20061100
2007-03-15 23:00:00,20070500,20070900,20070300
2007-05-15 23:00:00,20070900,20071100,20070500
2007-09-17 23:00:00,20071100,20080100,20070900
2007-11-15 23:00:00,20080100,20080500,20071100
2008-03-17 23:00:00,20080500,20080900,20080300
2008-05-15 23:00:00,20080900,20081100,20080500
2008-09-16 23:00:00,20081100,20090100,20080900
2008-11-17 23:00:00,20090100,20090500,20081100
2009-03-16 23:00:00,20090500,20090900,20090300
2009-05-15 23:00:00,20090900,20091100,20090500
2009-09-15 23:00:00,20091100,20100100,20090900
2009-11-16 23:00:00,20100100,20100500,20091100
2010-03-15 23:00:00,20100500,20100900,20100300
2010-05-17 23:00:00,20100900,20101100,20100500
2010-09-15 23:00:00,20101100,20110100,20100900
2010-11-15 23:00:00,20110100,20110500,20101100
2011-03-15 23:00:00,20110500,20110900,20110300
2011-05-16 23:00:00,20110900,20111100,20110500
2011-09-15 23:00:00,20111100,20120100,20110900
2011-11-15 23:00:00,20120100,20120500,20111100
2012-03-15 23:00:00,20120500,20120900,20120300
2012-05-15 23:00:00,20120900,20121100,20120500
2012-09-17 23:00:00,20121100,20130100,20120900
2012-11-15 23:00:00,20130100,20130500,20121100
2013-03-15 23:00:00,20130500,20130900,20130300
2013-05-15 23:00:00,20130900,20131100,20130500
2013-09-16 23:00:00,20131100,20140100,20130900
2013-11-15 23:00:00,20140100,20140500,20131100
2014-03-17 23:00:00,20140500,20140900,20140300
2014-05-15 23:00:00,20140900,20141100,20140500
2014-09-15 23:00:00,20141100,20150100,20140900
2014-11-17 23:00:00,20150100,20150500,20141100
2015-03-16 23:00:00,20150500,20150900,20150300
2015-05-15 23:00:00,20150900,20151100,20150500
2015-09-15 23:00:00,20151100,20160100,20150900
2015-11-16 23:00:00,20160100,20160500,20151100
2016-03-15 23:00:00,20160500,20160900,20160300
2016-05-16 23:00:00,20160900,20161100,20160500
2016-09-19 23:00:00,20161100,20170100,20160900
2016-11-15 23:00:00,20170100,20170500,20161100
2017-03-15 23:00:00,20170500,20170900,20170300
2017-05-15 23:00:00,20170900,20171100,20170500
2017-09-15 23:00:00,20171100,20180100,20170900
2017-11-15 23:00:00,20180100,20180500,20171100
2018-03-15 23:00:00,20180500,20180900,20180300
2018-05-15 23:00:00,20180900,20181100,20180500
2018-09-17 23:00:00,20181100,20190100,20180900
2018-11-15 23:00:00,20190100,20190500,20181100
2019-03-15 23:00:00,20190500,20190900,20190300
2019-05-15 23:00:00,20190900,20191100,20190500
2019-09-16 23:00:00,20191100,20200100,20190900
2019-11-15 23:00:00,20200100,20200500,20191100
2020-03-16 23:00:00,20200500,20200900,20200300
2020-05-15 23:00:00,20200900,20201100,20200500
2020-09-15 23:00:00,20201100,20210100,20200900
2020-11-16 23:00:00,20210100,20210500,20201100
2021-03-15 23:00:00,20210500,20210900,20210300
2021-05-17 23:00:00,20210900,20211100,20210500
2021-09-15 23:00:00,20211100,20220100,20210900
2021-11-15 23:00:00,20220100,20220500,20211100
2022-03-15 23:00:00,20220500,20220900,20220300
2022-05-16 23:00:00,20220900,20221100,20220500
2022-09-15 23:00:00,20221100,20230100,20220900
2022-11-15 23:00:00,20230100,20230500,20221100
2023-03-15 23:00:00,20230500,20230900,20230300
2023-05-15 23:00:00,20230900,20231100,20230500
2023-09-15 23:00:00,20231100,20240100,20230900
2023-11-15 23:00:00,20240100,20240500,20231100
2024-03-15 23:00:00,20240500,20240900,20240300
2024-05-15 23:00:00,20240900,20241100,20240500
2024-09-18 23:00:00,20241100,20250100,20240900
2024-11-15 23:00:00,20250100,20250500,20241100
2025-03-17 23:00:00,20250500,20250900,20250300
2025-05-15 23:00:00,20250900,20251100,20250500
2025-09-15 23:00:00,20251100,20260100,20250900
2025-11-17 23:00:00,20260100,20260500,20251100
2026-03-16 23:00:00,20260500,20260900,20260300
2026-05-15 23:00:00,20260900,20261100,20260500
