DATE_TIME,current_contract,next_contract,carry_contract
2015-07-15 23:00:00,20150800,20150900,20150700
2015-08-17 23:00:00,20150900,20151000,20150800
2015-09-15 23:00:00,20151000,20160100,20150900
2015-12-15 23:00:00,20160100,20160200,20151200
2016-01-15 23:00:00,20160200,20160300,20160100
2016-02-15 23:00:00,20160300,20160400,20160200
2016-03-15 23:00:00,20160400,20160500,20160300
2016-04-15 23:00:00,20160500,20160600,20160400
2016-05-16 23:00:00,20160600,20160700,20160500
2016-06-15 23:00:00,20160700,20160800,20160600
2016-07-15 23:00:00,20160800,20160900,20160700
2016-08-15 23:00:00,20160900,20161000,20160800
2016-09-19 23:00:00,20161000,20170100,20160900
2016-12-15 23:00:00,20170100,20170200,20161200
2017-01-16 23:00:00,20170200,20170300,20170100
2017-02-15 23:00:00,20170300,20170400,20170200
2017-03-15 23:00:00,20170400,20170500,20170300
2017-04-17 23:00:00,20170500,20170600,20170400
2017-05-15 23:00:00,20170600,20170700,20170500
2017-06-15 23:00:00,20170700,20170800,20170600
2017-07-17 23:00:00,20170800,20170900,20170700
2017-08-15 23:00:00,20170900,20171000,20170800
2017-09-15 23:00:00,20171000,20180100,20170900
2017-12-15 23:00:00,20180100,20180200,20171200
2018-01-15 23:00:00,20180200,20180300,20180100
2018-02-09 23:00:00,20180300,20180400,20180200
2018-03-15 23:00:00,20180400,20180500,20180300
2018-04-16 23:00:00,20180500,20180600,20180400
2018-05-15 23:00:00,20180600,20180700,20180500
2018-06-15 23:00:00,20180700,20180800,20180600
2018-07-16 23:00:00,20180800,20180900,20180700
2018-08-15 23:00:00,20180900,20181000,20180800
2018-09-17 23:00:00,20181000,20190100,20180900
2018-12-17 23:00:00,20190100,20190200,20181200
2019-01-15 23:00:00,20190200,20190300,20190100
2019-02-15 23:00:00,20190300,20190400,20190200
2019-03-15 23:00:00,20190400,20190500,20190300
2019-04-15 23:00:00,20190500,20190600,20190400
2019-05-15 23:00:00,20190600,20190700,20190500
2019-06-17 23:00:00,20190700,20190800,20190600
2019-07-15 23:00:00,20190800,20190900,20190700
2019-08-15 23:00:00,20190900,20191000,20190800
2019-09-16 23:00:00,20191000,20200100,20190900
2019-12-16 23:00:00,20200100,20200200,20191200
2020-01-15 23:00:00,20200200,20200300,20200100
2020-02-17 23:00:00,20200300,20200400,20200200
2020-03-16 23:00:00,20200400,20200500,20200300
2020-04-15 23:00:00,20200500,20200600,20200400
2020-05-15 23:00:00,20200600,20200700,20200500
2020-06-15 23:00:00,20200700,20200800,20200600
2020-07-15 23:00:00,20200800,20200900,20200700
2020-08-17 23:00:00,20200900,20201000,20200800
2020-09-15 23:00:00,20201000,20210100,20200900
2020-12-15 23:00:00,20210100,20210200,20201200
