DATE_TIME,current_contract,next_contract,carry_contract
2019-06-12 23:00:00,20190700,20190900,20190600
2019-07-15 23:00:00,20190900,20191100,20190700
2019-09-16 23:00:00,20191100,20200100,20190900
2019-12-13 23:00:00,20200100,20200300,20191200
2020-01-15 23:00:00,20200300,20200500,20200100
2020-03-16 23:00:00,20200500,20200600,20200300
2020-05-13 23:00:00,20200600,20200700,20200500
2020-06-12 23:00:00,20200700,20200900,20200600
2020-07-15 23:00:00,20200900,20201100,20200700
2020-09-15 23:00:00,20201100,20210100,20200900
2020-12-14 23:00:00,20210100,20210300,20201200
2021-01-15 23:00:00,20210300,20210500,20210100
2021-03-15 23:00:00,20210500,20210600,20210300
2021-05-13 23:00:00,20210600,20210700,20210500
2021-06-11 23:00:00,20210700,20210900,20210600
2021-07-15 23:00:00,20210900,20211100,20210700
2021-09-15 23:00:00,20211100,20220100,20210900
2021-12-13 23:00:00,20220100,20220300,20211200
2022-01-17 23:00:00,20220300,20220500,20220100
2022-03-15 23:00:00,20220500,20220600,20220300
2022-05-13 23:00:00,20220600,20220700,20220500
2022-06-13 23:00:00,20220700,20220900,20220600
2022-07-15 23:00:00,20220900,20221100,20220700
2022-09-15 23:00:00,20221100,20230100,20220900
2022-12-13 23:00:00,20230100,20230300,20221200
2023-01-16 23:00:00,20230300,20230500,20230100
2023-03-15 23:00:00,20230500,20230600,20230300
2023-05-12 23:00:00,20230600,20230700,20230500
2023-06-12 23:00:00,20230700,20230900,20230600
2023-07-17 23:00:00,20230900,20231100,20230700
2023-09-15 23:00:00,20231100,20240100,20230900
2023-12-13 23:00:00,20240100,20240300,20231200
2024-01-15 23:00:00,20240300,20240500,20240100
2024-03-15 23:00:00,20240500,20240600,20240300
2024-05-13 23:00:00,20240600,20240700,20240500
2024-06-12 23:00:00,20240700,20240900,20240600
2024-07-15 23:00:00,20240900,20241100,20240700
2024-09-18 23:00:00,20241100,20250100,20240900
2024-12-13 23:00:00,20250100,20250300,20241200
2025-01-15 23:00:00,20250300,20250500,20250100
2025-03-17 23:00:00,20250500,20250600,20250300
2025-05-13 23:00:00,20250600,20250700,20250500
2025-06-12 23:00:00,20250700,20250900,20250600
2025-07-15 23:00:00,20250900,20251100,20250700
2025-09-15 23:00:00,20251100,20260100,20250900
2025-12-12 23:00:00,20260100,20260300,20251200
2026-01-15 23:00:00,20260300,20260500,20260100
2026-03-16 23:00:00,20260500,20260600,20260300
2026-05-13 23:00:00,20260600,20260700,20260500
2026-06-12 23:00:00,20260700,20260900,20260600
2026-07-15 23:00:00,20260900,20261100,20260700
