DATE_TIME,current_contract,next_contract,carry_contract
2009-09-11 23:00:00,20091000,20091100,20090900
2009-10-13 23:00:00,20091100,20091200,20091000
2009-11-12 23:00:00,20091200,20100100,20091100
2009-12-14 23:00:00,20100100,20100500,20091200
2010-02-09 23:00:00,20100500,20100900,20100200
2010-05-17 23:00:00,20100900,20101000,20100500
2010-09-13 23:00:00,20101000,20101100,20100900
2010-10-13 23:00:00,20101100,20101200,20101000
2010-11-12 23:00:00,20101200,20110100,20101100
2010-12-13 23:00:00,20110100,20110500,20101200
2011-02-15 23:00:00,20110500,20110900,20110200
2011-05-16 23:00:00,20110900,20111000,20110500
2011-09-13 23:00:00,20111000,20111100,20110900
2011-10-13 23:00:00,20111100,20111200,20111000
2011-11-11 23:00:00,20111200,20120100,20111100
2011-12-13 23:00:00,20120100,20120500,20111200
2012-02-15 23:00:00,20120500,20120900,20120200
2012-05-15 23:00:00,20120900,20121000,20120500
2012-09-12 23:00:00,20121000,20121100,20120900
2012-10-12 23:00:00,20121100,20121200,20121000
2012-11-12 23:00:00,20121200,20130100,20121100
2012-12-13 23:00:00,20130100,20130500,20121200
2013-02-18 23:00:00,20130500,20130900,20130200
2013-05-15 23:00:00,20130900,20131000,20130500
2013-09-12 23:00:00,20131000,20131100,20130900
2013-10-14 23:00:00,20131100,20131200,20131000
2013-11-12 23:00:00,20131200,20140100,20131100
2013-12-13 23:00:00,20140100,20140500,20131200
2014-02-17 23:00:00,20140500,20140900,20140200
2014-05-15 23:00:00,20140900,20141000,20140500
2014-09-12 23:00:00,20141000,20141100,20140900
2014-10-13 23:00:00,20141100,20141200,20141000
2014-11-12 23:00:00,20141200,20150100,20141100
2014-12-12 23:00:00,20150100,20150500,20141200
2015-02-10 23:00:00,20150500,20150900,20150200
2015-05-15 23:00:00,20150900,20151000,20150500
2015-09-11 23:00:00,20151000,20151100,20150900
2015-10-13 23:00:00,20151100,20151200,20151000
2015-11-12 23:00:00,20151200,20160100,20151100
2015-12-14 23:00:00,20160100,20160500,20151200
2016-02-15 23:00:00,20160500,20160900,20160200
2016-05-16 23:00:00,20160900,20161000,20160500
2016-09-12 23:00:00,20161000,20161100,20160900
2016-10-13 23:00:00,20161100,20161200,20161000
2016-11-11 23:00:00,20161200,20170100,20161100
2016-12-13 23:00:00,20170100,20170500,20161200
2017-02-15 23:00:00,20170500,20170900,20170200
2017-05-15 23:00:00,20170900,20171000,20170500
2017-09-12 23:00:00,20171000,20171100,20170900
2017-10-13 23:00:00,20171100,20171200,20171000
2017-11-13 23:00:00,20171200,20180100,20171100
2017-12-13 23:00:00,20180100,20180500,20171200
2018-02-09 23:00:00,20180500,20180900,20180200
2018-05-15 23:00:00,20180900,20181000,20180500
2018-08-31 23:00:00,20181000,20181100,20180900
