Instrument,Description,broad,fine,economic_id
CFFEX_IC,中金所中证五百股指,股指,股指,CFFEX_IC
CFFEX_IF,中金所沪深三百股指,股指,股指,CFFEX_IF
CFFEX_IH,中金所上证五十股指,股指,股指,CFFEX_IH
CFFEX_IM,中金所中证一千股指,股指,股指,CFFEX_IM
CFFEX_T,中金所十年期国债,利率,利率,CFFEX_T
CFFEX_TF,中金所五年期国债,利率,利率,CFFEX_TF
CFFEX_TL,中金所三十年期国债,利率,利率,CFFEX_TL
CFFEX_TS,中金所两年期国债,利率,利率,CFFEX_TS
CZCE_AP,郑商所苹果,农产品,软商品与园艺,CZCE_AP
CZCE_CF,郑商所棉花,农产品,软商品与园艺,CZCE_CF
CZCE_CJ,郑商所红枣,农产品,软商品与园艺,CZCE_CJ
CZCE_CY,郑商所棉纱,农产品,软商品与园艺,CZCE_CY
CZCE_ER,郑商所早籼稻（旧合约）,农产品,谷物淀粉,CZCE_RI
CZCE_FG,郑商所玻璃,化工,化工,CZCE_FG
CZCE_JR,郑商所粳稻,农产品,谷物淀粉,CZCE_JR
CZCE_LR,郑商所晚籼稻,农产品,谷物淀粉,CZCE_LR
CZCE_MA,郑商所甲醇,化工,化工,CZCE_MA
CZCE_ME,郑商所甲醇（旧合约）,化工,化工,CZCE_MA
CZCE_OI,郑商所菜籽油,农产品,油脂油料,CZCE_OI
CZCE_PF,郑商所短纤,化工,化工,CZCE_PF
CZCE_PK,郑商所花生,农产品,油脂油料,CZCE_PK
CZCE_PL,郑商所丙烯,化工,化工,CZCE_PL
CZCE_PM,郑商所普通小麦,农产品,谷物淀粉,CZCE_PM
CZCE_PR,郑商所瓶片,化工,化工,CZCE_PR
CZCE_PX,郑商所对二甲苯,化工,化工,CZCE_PX
CZCE_RI,郑商所早籼稻,农产品,谷物淀粉,CZCE_RI
CZCE_RM,郑商所菜籽粕,农产品,油脂油料,CZCE_RM
CZCE_RO,郑商所菜籽油（旧合约）,农产品,油脂油料,CZCE_OI
CZCE_RS,郑商所油菜籽,农产品,油脂油料,CZCE_RS
CZCE_SA,郑商所纯碱,化工,化工,CZCE_SA
CZCE_SF,郑商所硅铁,黑色,黑色,CZCE_SF
CZCE_SH,郑商所烧碱,化工,化工,CZCE_SH
CZCE_SM,郑商所锰硅,黑色,黑色,CZCE_SM
CZCE_SR,郑商所白糖,农产品,软商品与园艺,CZCE_SR
CZCE_TA,郑商所精对苯二甲酸,化工,化工,CZCE_TA
CZCE_TC,郑商所动力煤（旧合约）,黑色,黑色,CZCE_ZC
CZCE_UR,郑商所尿素,化工,化工,CZCE_UR
CZCE_WH,郑商所强筋小麦,农产品,谷物淀粉,CZCE_WH
