Instrument,Exchange,FutCode,ValidFrom,ValidTo,MinTick,Predecessor,StitchMode
CFFEX_IC,CFFEX,IC,,,0.2,,stitch
CFFEX_IF,CFFEX,IF,,,0.2,,stitch
CFFEX_IH,CFFEX,IH,,,0.2,,stitch
CFFEX_IM,CFFEX,IM,,,0.2,,stitch
CFFEX_T,CFFEX,T,,,0.005,,stitch
CFFEX_TF,CFFEX,TF,,,0.005,,stitch
CFFEX_TL,CFFEX,TL,,,0.01,,stitch
CFFEX_TS,CFFEX,TS,,,0.002,,stitch
CZCE_AP,CZCE,AP,,,1,,stitch
CZCE_CF,CZCE,CF,,,5,,stitch
CZCE_CJ,CZCE,CJ,,,5,,stitch
CZCE_CY,CZCE,CY,,,5,,stitch
CZCE_ER,CZCE,ER,,,1,,stitch
CZCE_FG,CZCE,FG,,,1,,stitch
CZCE_JR,CZCE,JR,,,1,,stitch
CZCE_LR,CZCE,LR,,,1,,stitch
CZCE_MA,CZCE,MA,,,1,CZCE_ME,stitch
CZCE_ME,CZCE,ME,,,1,,stitch
CZCE_OI,CZCE,OI,,,1,CZCE_RO,stitch
CZCE_PF,CZCE,PF,,,2,,stitch
CZCE_PK,CZCE,PK,,,2,,stitch
CZCE_PL,CZCE,PL,,,1,,stitch
CZCE_PM,CZCE,PM,,,1,CZCE_WT,stitch
CZCE_PR,CZCE,PR,,,2,,stitch
CZCE_PX,CZCE,PX,,,2,,stitch
CZCE_RI,CZCE,RI,,,1,CZCE_ER,stitch
CZCE_RM,CZCE,RM,,,1,,stitch
CZCE_RO,CZCE,RO,,,2,,stitch
CZCE_RS,CZCE,RS,,,1,,stitch
CZCE_SA,CZCE,SA,,,1,,stitch
CZCE_SF,CZCE,SF,,,2,,stitch
CZCE_SH,CZCE,SH,,,1,,stitch
CZCE_SM,CZCE,SM,,,2,,stitch
CZCE_SR,CZCE,SR,,,1,,stitch
CZCE_TA,CZCE,TA,,,2,,stitch
CZCE_TC,CZCE,TC,,,0.2,,stitch
CZCE_UR,CZCE,UR,,,1,,stitch
CZCE_WH,CZCE,WH,,,1,CZCE_WS,stitch
CZCE_WS,CZCE,WS,,,1,,stitch
CZCE_WT,CZCE,WT,,,1,,stitch
CZCE_ZC,CZCE,ZC,,,0.2,CZCE_TC,stitch
DCE_A,DCE,A,,,1,,stitch
DCE_B,DCE,B,,,1,,stitch
DCE_BB,DCE,BB,,,0.05,,stitch
DCE_BZ,DCE,BZ,,,1,,stitch
DCE_C,DCE,C,,,1,,stitch
DCE_CS,DCE,CS,,,1,,stitch
DCE_EB,DCE,EB,,,1,,stitch
DCE_EG,DCE,EG,,,1,,stitch
DCE_FB_OLD,DCE,FB,,20191129,0.05,,stitch
DCE_FB,DCE,FB,20191202,,0.5,DCE_FB_OLD,stitch
DCE_I,DCE,I,,,0.5,,stitch
DCE_J,DCE,J,,,0.5,,stitch
DCE_JD,DCE,JD,,,1,,stitch
DCE_JM,DCE,JM,,,0.5,,stitch
DCE_L,DCE,L,,,1,,stitch
DCE_LG,DCE,LG,,,0.5,,stitch
DCE_LH,DCE,LH,,,5,,stitch
DCE_L_F,DCE,L_F,,,1,,catalog_only
DCE_M,DCE,M,,,1,,stitch
DCE_P,DCE,P,,,1,,stitch
DCE_PG,DCE,PG,,,1,,stitch
DCE_PP,DCE,PP,,,1,,stitch
DCE_PP_F,DCE,PP_F,,,1,,catalog_only
DCE_RR,DCE,RR,,,1,,stitch
DCE_V,DCE,V,,,1,,stitch
DCE_V_F,DCE,V_F,,,1,,catalog_only
DCE_Y,DCE,Y,,,1,,stitch
GFEX_LC,GFEX,LC,,,20,,stitch
GFEX_PD,GFEX,PD,,,0.05,,stitch
GFEX_PS,GFEX,PS,,,5,,stitch
GFEX_PT,GFEX,PT,,,0.05,,stitch
GFEX_SI,GFEX,SI,,,5,,stitch
INE_BC,INE,BC,,,10,,stitch
INE_EC,INE,EC,,,0.5,,stitch
INE_LU,INE,LU,,,1,,stitch
INE_NR,INE,NR,,,5,,stitch
INE_SC,INE,SC,,,0.1,,stitch
INE_SCTAS,INE,SCTAS,,,0.1,,catalog_only
SHFE_AD,SHFE,AD,,,5,,stitch
SHFE_AG,SHFE,AG,,,1,,stitch
SHFE_AL,SHFE,AL,,,5,,stitch
SHFE_AO,SHFE,AO,,,1,,stitch
SHFE_AU,SHFE,AU,,,0.02,,stitch
SHFE_BR,SHFE,BR,,,5,,stitch
SHFE_BU,SHFE,BU,,,1,,stitch
SHFE_CU,SHFE,CU,,,10,,stitch
SHFE_FU,SHFE,FU,,,1,,stitch
SHFE_HC,SHFE,HC,,,1,,stitch
SHFE_NI,SHFE,NI,,,10,,stitch
SHFE_OP,SHFE,OP,,,2,,stitch
SHFE_PB,SHFE,PB,,,5,,stitch
SHFE_RB,SHFE,RB,,,1,,stitch
SHFE_RU,SHFE,RU,,,5,,stitch
SHFE_SN,SHFE,SN,,,10,,stitch
SHFE_SP,SHFE,SP,,,2,,stitch
SHFE_SS,SHFE,SS,,,5,,stitch
SHFE_WR,SHFE,WR,,,1,,stitch
SHFE_ZN,SHFE,ZN,,,5,,stitch
